[Tue Aug 01 18:37:33.147193 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Attach interpreter ''.
[Tue Aug 01 18:37:46.171626 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Shutdown requested 'LAMPDots'.
[Tue Aug 01 18:37:46.180998 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Stopping process 'LAMPDots'.
[Tue Aug 01 18:37:46.181493 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Destroying interpreters.
[Tue Aug 01 18:37:46.181597 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Cleanup interpreter ''.
[Tue Aug 01 18:37:46.183362 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Terminating Python.
[Tue Aug 01 18:37:46.185074 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Python has shutdown.
[Tue Aug 01 18:37:47.259377 2017] [:info] [pid 10040:tid 140361673566080] mod_wsgi (pid=10040): Attach interpreter ''.
[Tue Aug 01 18:39:35.328827 2017] [authz_core:debug] [pid 10041:tid 140361452209920] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.328926 2017] [authz_core:debug] [pid 10041:tid 140361452209920] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.638999 2017] [authz_core:debug] [pid 10041:tid 140361443817216] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.639184 2017] [authz_core:debug] [pid 10041:tid 140361443817216] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.640037 2017] [authz_core:debug] [pid 10041:tid 140361443817216] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.640135 2017] [authz_core:debug] [pid 10041:tid 140361443817216] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.955815 2017] [authz_core:debug] [pid 10041:tid 140361435424512] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.955939 2017] [authz_core:debug] [pid 10041:tid 140361435424512] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.956617 2017] [authz_core:debug] [pid 10041:tid 140361435424512] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.956695 2017] [authz_core:debug] [pid 10041:tid 140361435424512] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.267276 2017] [authz_core:debug] [pid 10041:tid 140361427031808] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.267372 2017] [authz_core:debug] [pid 10041:tid 140361427031808] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.267977 2017] [authz_core:debug] [pid 10041:tid 140361427031808] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.268048 2017] [authz_core:debug] [pid 10041:tid 140361427031808] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.635163 2017] [authz_core:debug] [pid 10041:tid 140361418639104] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.635317 2017] [authz_core:debug] [pid 10041:tid 140361418639104] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.636206 2017] [authz_core:debug] [pid 10041:tid 140361418639104] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:36.636302 2017] [authz_core:debug] [pid 10041:tid 140361418639104] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:37.966131 2017] [authz_core:debug] [pid 10041:tid 140361410246400] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
